year,all_co2_emissions,all_co2_emissions_norm,temp_diff,temp_diff_norm
1929,16702606573,0.12971264662730075,-0.33,0.08333333333333333
1930,15500570886,0.12035141958193653,-0.11,0.23611111111111113
1931,13987316554,0.10856648047202724,-0.06,0.27083333333333337
1932,12720183122,0.09869828447584332,-0.13,0.22222222222222224
1933,13333052940,0.10347119893886379,-0.26,0.13194444444444445
1934,14534959745,0.11283142227553858,-0.11,0.23611111111111113
1935,15257736301,0.11846026966913714,-0.16,0.20138888888888892
1936,16634798765,0.12918457221736315,-0.12,0.22916666666666669
1937,17853781095,0.13867777651972185,-0.01,0.3055555555555556
1938,17088201446,0.13271558671695,-0.02,0.2986111111111111
1939,17934196100,0.1393040334002791,0.01,0.3194444444444445
1940,19486455008,0.15139273278593812,0.16,0.4236111111111111
1941,19636243556,0.1525592577250795,0.27,0.5
1942,19244225017,0.14950629133709326,0.11,0.38888888888888895
1943,19534253504,0.15176497845078996,0.11,0.38888888888888895
1944,19565115857,0.15200532863066543,0.28,0.5069444444444444
1945,15594472008,0.12108270379617671,0.18,0.4375
1946,17627175406,0.13691301418575616,-0.01,0.3055555555555556
1947,19688573770,0.15296679555435072,-0.03,0.2916666666666667
1948,20822381496,0.16179667611751747,-0.05,0.2777777777777778
1949,20750881611,0.16123984850878573,-0.07,0.2638888888888889
1950,23193330215,0.1802611772230279,-0.15,0.20833333333333337
1951,24765198720,0.19250259244879916,0.0,0.3125
1952,25203425334,0.1959154186030822,0.04,0.3402777777777778
1953,25929889053,0.20157298092617043,0.13,0.40277777777777785
1954,26744550909,0.20791741369276084,-0.1,0.24305555555555555
1955,29264526082,0.22754250469318635,-0.13,0.22222222222222224
1956,31190086910,0.24253840897083326,-0.18,0.18750000000000003
1957,32296582321,0.25115558637999663,0.07,0.36111111111111116
1958,33117262597,0.2575468894655665,0.12,0.39583333333333337
1959,34633660076,0.26935630681104084,0.08,0.3680555555555556
1960,36787271041,0.286128222511037,0.05,0.3472222222222222
1961,37222967265,0.2895213424656127,0.09,0.37500000000000006
1962,38731690224,0.3012709920978975,0.1,0.3819444444444445
1963,40905926108,0.3182035307740992,0.12,0.39583333333333337
1964,43134192759,0.33555685086535564,-0.14,0.2152777777777778
1965,44979446660,0.34992733995350955,-0.07,0.2638888888888889
1966,47046989040,0.3660289697590252,-0.01,0.3055555555555556
1967,48536549212,0.3776293832231421,0.0,0.3125
1968,51174888659,0.39817627284814844,-0.03,0.2916666666666667
1969,54504032516,0.42410301682846807,0.1,0.3819444444444445
1970,58698549690,0.4567691248618259,0.06,0.3541666666666667
1971,61092473286,0.47541254997288984,-0.07,0.2638888888888889
1972,63821145345,0.49666293292981484,0.04,0.3402777777777778
1973,67163417183,0.5226919151482478,0.19,0.4444444444444445
1974,67081293618,0.5220523523249023,-0.06,0.27083333333333337
1975,67323829893,0.5239411790557279,0.01,0.3194444444444445
1976,71104709357,0.5533859546779836,-0.07,0.2638888888888889
1977,72869545069,0.5671301620891892,0.21,0.45833333333333337
1978,75107627461,0.5845599253186264,0.12,0.39583333333333337
1979,77268872430,0.6013912932008515,0.23,0.47222222222222227
1980,76976515724,0.5991144743570356,0.28,0.5069444444444444
1981,75014306964,0.5838331629022929,0.32,0.5347222222222222
1982,74497847815,0.57981107653187,0.19,0.4444444444444445
1983,74918676782,0.5830884130951339,0.36,0.5625000000000001
1984,77135656752,0.6003538346451305,0.17,0.4305555555555556
1985,79876908366,0.6217021848019966,0.16,0.4236111111111111
1986,80843757464,0.6292318230838454,0.23,0.47222222222222227
1987,82788031621,0.6443734632355916,0.38,0.576388888888889
1988,85631218083,0.6665156627484151,0.39,0.5833333333333334
1989,86621767754,0.6742298766192899,0.29,0.513888888888889
1990,88194825624,0.6864805543951877,0.45,0.625
1991,88759487297,0.6908780329242659,0.39,0.5833333333333334
1992,86107543538,0.670225195485226,0.24,0.47916666666666663
1993,86353214293,0.6721384329546565,0.28,0.5069444444444444
1994,86236263976,0.6712276459603064,0.34,0.5486111111111112
1995,87648421404,0.6822252614639679,0.47,0.6388888888888888
1996,89953573953,0.7001773544165867,0.32,0.5347222222222222
1997,90055544500,0.7009714817896179,0.51,0.6666666666666666
1998,89566127989,0.6971599983796241,0.65,0.763888888888889
1999,90524425606,0.7046230393415422,0.44,0.6180555555555556
2000,92998024618,0.7238869615536293,0.42,0.6041666666666667
2001,93999374194,0.7316852830461552,0.57,0.7083333333333334
2002,95821331718,0.7458743443474388,0.62,0.7430555555555556
2003,100340412516,0.7810680926229207,0.64,0.7569444444444445
2004,104330577672,0.8121427457116663,0.58,0.7152777777777778
2005,107354786250,0.8356947112958596,0.67,0.7777777777777779
2006,110616403288,0.8610955691555368,0.63,0.7500000000000001
2007,113346854806,0.8823598102032798,0.62,0.7430555555555556
2008,115021012719,0.8953978360313649,0.54,0.6875
2009,112661077182,0.8770191035085255,0.64,0.7569444444444445
2010,118593918603,0.9232229526677247,0.72,0.8125
2011,122025586539,0.9499481348238119,0.57,0.7083333333333334
2012,123738516592,0.9632881107599512,0.63,0.7500000000000001
2013,124342031236,0.9679881688936547,0.67,0.7777777777777779
2014,124746835874,0.9711407110072687,0.74,0.8263888888888888
2015,124780502322,0.9714028989497295,0.92,0.951388888888889
2016,124705642926,0.9708199081034395,0.99,1.0
2017,126304712027,0.9832731564367293,0.91,0.9444444444444445
2018,128452535469,1.0,0.82,0.8819444444444445
2019,128422888228,0.9997691128830274,0.94,0.9652777777777778
2020,121592752041,0.9465773014511716,,
