,county,year,Avg_Tempmin_anomaly,Avg_Tempmax_anomaly
0,3,1895,-1.4166666666666599,-0.966666666666665
1,65,1895,-1.627777777777771,-0.7277777777777672
2,79,1895,-1.1611111111111043,-1.1722222222222207
3,109,1895,-1.283333333333327,-0.6388888888888786
4,125,1895,-1.216666666666658,-0.99444444444444
5,540,1895,-1.066666666666661,-1.3611111111110965
6,3,1896,0.2500000000000071,-0.4111111111111079
7,65,1896,0.038888888888895856,-0.17222222222221006
8,79,1896,0.5055555555555626,-0.061111111111110006
9,109,1896,-0.1722222222222154,-0.08333333333332149
10,125,1896,1.0055555555555644,0.11666666666667425
11,540,1896,0.6000000000000059,-0.2499999999999858
12,3,1897,0.2500000000000071,0.1444444444444457
13,65,1897,0.038888888888895856,0.3833333333333435
14,79,1897,0.5055555555555626,-0.061111111111110006
15,109,1897,-0.1722222222222154,0.4722222222222321
16,125,1897,0.45000000000000906,0.11666666666667425
17,540,1897,0.6000000000000059,0.30555555555557135
18,3,1898,0.8055555555555625,-0.4111111111111079
19,65,1898,0.5944444444444512,0.3833333333333435
20,79,1898,1.061111111111118,-0.061111111111110006
21,109,1898,0.38333333333333997,0.4722222222222321
22,125,1898,1.0055555555555644,0.11666666666667425
23,540,1898,1.155555555555562,-0.2499999999999858
24,3,1899,0.2500000000000071,-0.4111111111111079
25,65,1899,0.038888888888895856,-0.17222222222221006
26,79,1899,-0.049999999999993605,-0.061111111111110006
27,109,1899,-0.1722222222222154,-0.08333333333332149
28,125,1899,-0.1055555555555463,-0.4388888888888829
29,540,1899,0.044444444444450504,-0.8055555555555394
30,3,1900,1.3611111111111187,0.7000000000000028
31,65,1900,1.1500000000000075,0.9388888888889007
32,79,1900,1.061111111111118,1.0500000000000007
33,109,1900,0.9388888888888953,1.0277777777777892
34,125,1900,1.0055555555555644,0.6722222222222278
35,540,1900,1.155555555555562,0.8611111111111249
36,3,1901,-0.30555555555554825,-1.5222222222222221
37,65,1901,0.038888888888895856,-1.2833333333333208
38,79,1901,-0.049999999999993605,-1.1722222222222207
39,109,1901,-0.1722222222222154,-1.1944444444444322
40,125,1901,-0.1055555555555463,-0.99444444444444
41,540,1901,-0.5111111111111049,-1.3611111111110965
42,3,1902,-0.30555555555554825,-0.4111111111111079
43,65,1902,0.038888888888895856,-0.7277777777777672
44,79,1902,-0.049999999999993605,-0.6166666666666671
45,109,1902,-0.1722222222222154,-0.6388888888888786
46,125,1902,-0.1055555555555463,-0.4388888888888829
47,540,1902,0.044444444444450504,-0.8055555555555394
48,3,1903,-0.30555555555554825,-0.966666666666665
49,65,1903,-1.0722222222222157,-1.2833333333333208
50,79,1903,-0.049999999999993605,-1.1722222222222207
51,109,1903,-0.7277777777777716,-0.6388888888888786
52,125,1903,-0.1055555555555463,-0.99444444444444
53,540,1903,-0.5111111111111049,-0.8055555555555394
54,3,1904,-0.8611111111111045,-1.5222222222222221
55,65,1904,-1.627777777777771,-1.838888888888878
56,79,1904,-1.1611111111111043,-1.7277777777777779
57,109,1904,-1.8388888888888824,-1.7499999999999893
58,125,1904,-1.216666666666658,-1.5499999999999936
59,540,1904,-1.066666666666661,-1.3611111111110965
60,3,1905,-0.30555555555554825,-0.966666666666665
61,65,1905,-0.5166666666666595,-0.7277777777777672
62,79,1905,-0.049999999999993605,-1.1722222222222207
63,109,1905,-0.7277777777777716,-0.6388888888888786
64,125,1905,-0.1055555555555463,-0.99444444444444
65,540,1905,-0.5111111111111049,-1.3611111111110965
66,3,1906,0.2500000000000071,-0.4111111111111079
67,65,1906,0.5944444444444512,-0.7277777777777672
68,79,1906,0.5055555555555626,-0.6166666666666671
69,109,1906,0.38333333333333997,-0.6388888888888786
70,125,1906,0.45000000000000906,-0.4388888888888829
71,540,1906,0.6000000000000059,-0.8055555555555394
72,3,1907,-0.8611111111111045,-0.966666666666665
73,65,1907,-0.5166666666666595,-1.2833333333333208
74,79,1907,-1.1611111111111043,-1.1722222222222207
75,109,1907,-0.7277777777777716,-1.1944444444444322
76,125,1907,-0.6611111111111025,-0.99444444444444
77,540,1907,-1.066666666666661,-0.8055555555555394
78,3,1908,0.2500000000000071,-0.4111111111111079
79,65,1908,0.038888888888895856,-0.17222222222221006
80,79,1908,-0.049999999999993605,-0.061111111111110006
81,109,1908,-0.1722222222222154,-0.08333333333332149
82,125,1908,-0.1055555555555463,-0.4388888888888829
83,540,1908,0.044444444444450504,-0.8055555555555394
84,3,1909,0.2500000000000071,-0.4111111111111079
85,65,1909,0.038888888888895856,-0.17222222222221006
86,79,1909,-0.049999999999993605,-0.061111111111110006
87,109,1909,-0.1722222222222154,-0.08333333333332149
88,125,1909,-0.1055555555555463,-0.4388888888888829
89,540,1909,0.044444444444450504,-0.2499999999999858
90,3,1910,-0.30555555555554825,-0.966666666666665
91,65,1910,0.038888888888895856,-0.7277777777777672
92,79,1910,-0.049999999999993605,-0.6166666666666671
93,109,1910,-0.1722222222222154,-0.6388888888888786
94,125,1910,-0.1055555555555463,-0.99444444444444
95,540,1910,0.044444444444450504,-0.8055555555555394
96,3,1911,0.2500000000000071,0.1444444444444457
97,65,1911,0.5944444444444512,0.3833333333333435
98,79,1911,0.5055555555555626,0.49444444444444713
99,109,1911,0.38333333333333997,0.4722222222222321
100,125,1911,0.45000000000000906,0.11666666666667425
101,540,1911,0.6000000000000059,0.30555555555557135
102,3,1912,-0.30555555555554825,-0.966666666666665
103,65,1912,-0.5166666666666595,-0.7277777777777672
104,79,1912,-0.605555555555549,-0.6166666666666671
