,county,year,Avg_Tempmin,Avg_Tempmax
212,65,1980,43.0,67.0
213,65,1981,43.0,67.0
214,65,1982,44.0,67.0
215,65,1983,44.0,67.0
216,65,1984,44.0,68.0
217,65,1985,45.0,68.0
218,65,1986,45.0,68.0
219,65,1987,44.0,68.0
220,65,1988,43.0,67.0
221,65,1989,44.0,67.0
222,65,1990,46.0,70.0
223,65,1991,46.0,70.0
224,65,1992,44.0,66.0
225,65,1993,44.0,67.0
226,65,1994,44.0,68.0
227,65,1995,45.0,67.0
228,65,1996,44.0,66.0
229,65,1997,44.0,67.0
230,65,1998,47.0,70.0
231,65,1999,45.0,70.0
232,65,2000,44.0,68.0
233,65,2001,44.0,69.0
234,65,2002,45.0,69.0
235,65,2003,45.0,66.0
236,65,2004,46.0,68.0
237,65,2005,45.0,68.0
238,65,2006,45.0,70.0
239,65,2007,46.0,69.0
240,65,2008,45.0,68.0
241,65,2009,45.0,67.0
242,65,2010,45.0,69.0
243,65,2011,47.0,69.0
244,65,2012,47.0,70.0
245,65,2013,45.0,67.0
246,65,2014,44.0,67.0
247,65,2015,46.0,69.0
248,65,2016,47.0,69.0
249,65,2017,47.0,70.0
250,65,2018,46.0,68.0
251,65,2019,48.0,69.0
252,65,2020,48.0,69.0
253,65,2021,,
254,79,1895,40.0,62.0
255,79,1896,43.0,64.0
256,79,1897,43.0,64.0
257,79,1898,44.0,64.0
258,79,1899,42.0,64.0
259,79,1900,44.0,66.0
260,79,1901,42.0,62.0
261,79,1902,42.0,63.0
262,79,1903,42.0,62.0
263,79,1904,40.0,61.0
264,79,1905,42.0,62.0
265,79,1906,43.0,63.0
266,79,1907,40.0,62.0
267,79,1908,42.0,64.0
268,79,1909,42.0,64.0
269,79,1910,42.0,63.0
270,79,1911,43.0,65.0
271,79,1912,41.0,63.0
272,79,1913,43.0,65.0
273,79,1914,41.0,63.0
274,79,1915,42.0,63.0
275,79,1916,42.0,64.0
276,79,1917,40.0,61.0
277,79,1918,42.0,64.0
278,79,1919,43.0,64.0
279,79,1920,41.0,62.0
280,79,1921,44.0,67.0
281,79,1922,43.0,64.0
282,79,1923,42.0,64.0
283,79,1924,40.0,62.0
284,79,1925,42.0,64.0
285,79,1926,41.0,63.0
286,79,1927,43.0,64.0
