,county,year,Avg_Tempmin_anomaly,Avg_Tempmin_anomaly_norm,Avg_Tempmax_anomaly,Avg_Tempmax_anomaly_norm,co2_min,co2_min_norm,co2_max,co2_max_norm
0,3,1895,-1.4166666666666599,0.0,-0.966666666666665,0.16666666666666702,,,,
1,65,1895,-1.627777777777771,0.0,-0.7277777777777672,0.2857142857142856,,,,
2,79,1895,-1.1611111111111043,0.1428571428571428,-1.1722222222222207,0.16666666666666702,,,,
3,109,1895,-1.283333333333327,0.1428571428571428,-0.6388888888888786,0.3333333333333333,,,,
4,125,1895,-1.216666666666658,0.1428571428571428,-0.99444444444444,0.16666666666666613,,,,
5,540,1895,-1.066666666666661,0.0,-1.3611111111110965,0.14285714285714324,,,,
6,3,1896,0.2500000000000071,0.5,-0.4111111111111079,0.33333333333333404,,,,
7,65,1896,0.038888888888895856,0.4285714285714286,-0.17222222222221006,0.4285714285714288,,,,
8,79,1896,0.5055555555555626,0.5714285714285714,-0.061111111111110006,0.5,,,,
9,109,1896,-0.1722222222222154,0.4285714285714286,-0.08333333333332149,0.5000000000000006,,,,
10,125,1896,1.0055555555555644,0.7142857142857142,0.11666666666667425,0.5000000000000006,,,,
11,540,1896,0.6000000000000059,0.5,-0.2499999999999858,0.4285714285714288,,,,
12,3,1897,0.2500000000000071,0.5,0.1444444444444457,0.5,,,,
13,65,1897,0.038888888888895856,0.4285714285714286,0.3833333333333435,0.5714285714285712,,,,
14,79,1897,0.5055555555555626,0.5714285714285714,-0.061111111111110006,0.5,,,,
15,109,1897,-0.1722222222222154,0.4285714285714286,0.4722222222222321,0.6666666666666666,,,,
16,125,1897,0.45000000000000906,0.5714285714285714,0.11666666666667425,0.5000000000000006,,,,
17,540,1897,0.6000000000000059,0.5,0.30555555555557135,0.5714285714285721,,,,
18,3,1898,0.8055555555555625,0.6666666666666666,-0.4111111111111079,0.33333333333333404,,,,
19,65,1898,0.5944444444444512,0.5714285714285714,0.3833333333333435,0.5714285714285712,,,,
20,79,1898,1.061111111111118,0.7142857142857142,-0.061111111111110006,0.5,,,,
21,109,1898,0.38333333333333997,0.5714285714285714,0.4722222222222321,0.6666666666666666,,,,
22,125,1898,1.0055555555555644,0.7142857142857142,0.11666666666667425,0.5000000000000006,,,,
23,540,1898,1.155555555555562,0.6666666666666669,-0.2499999999999858,0.4285714285714288,,,,
24,3,1899,0.2500000000000071,0.5,-0.4111111111111079,0.33333333333333404,,,,
25,65,1899,0.038888888888895856,0.4285714285714286,-0.17222222222221006,0.4285714285714288,,,,
26,79,1899,-0.049999999999993605,0.4285714285714284,-0.061111111111110006,0.5,,,,
27,109,1899,-0.1722222222222154,0.4285714285714286,-0.08333333333332149,0.5000000000000006,,,,
28,125,1899,-0.1055555555555463,0.4285714285714286,-0.4388888888888829,0.3333333333333333,,,,
29,540,1899,0.044444444444450504,0.3333333333333334,-0.8055555555555394,0.2857142857142865,,,,
30,3,1900,1.3611111111111187,0.8333333333333334,0.7000000000000028,0.6666666666666671,,,,
31,65,1900,1.1500000000000075,0.7142857142857144,0.9388888888889007,0.7142857142857144,,,,
32,79,1900,1.061111111111118,0.7142857142857142,1.0500000000000007,0.8333333333333329,,,,
33,109,1900,0.9388888888888953,0.7142857142857142,1.0277777777777892,0.8333333333333338,,,,
34,125,1900,1.0055555555555644,0.7142857142857142,0.6722222222222278,0.6666666666666666,,,,
35,540,1900,1.155555555555562,0.6666666666666669,0.8611111111111249,0.7142857142857144,,,,
36,3,1901,-0.30555555555554825,0.3333333333333334,-1.5222222222222221,0.0,,,,
37,65,1901,0.038888888888895856,0.4285714285714286,-1.2833333333333208,0.14285714285714324,,,,
38,79,1901,-0.049999999999993605,0.4285714285714284,-1.1722222222222207,0.16666666666666702,,,,
39,109,1901,-0.1722222222222154,0.4285714285714286,-1.1944444444444322,0.1666666666666672,,,,
40,125,1901,-0.1055555555555463,0.4285714285714286,-0.99444444444444,0.16666666666666613,,,,
41,540,1901,-0.5111111111111049,0.16666666666666685,-1.3611111111110965,0.14285714285714324,,,,
42,3,1902,-0.30555555555554825,0.3333333333333334,-0.4111111111111079,0.33333333333333404,,,,
43,65,1902,0.038888888888895856,0.4285714285714286,-0.7277777777777672,0.2857142857142856,,,,
44,79,1902,-0.049999999999993605,0.4285714285714284,-0.6166666666666671,0.333333333333333,,,,
45,109,1902,-0.1722222222222154,0.4285714285714286,-0.6388888888888786,0.3333333333333333,,,,
46,125,1902,-0.1055555555555463,0.4285714285714286,-0.4388888888888829,0.3333333333333333,,,,
47,540,1902,0.044444444444450504,0.3333333333333334,-0.8055555555555394,0.2857142857142865,,,,
48,3,1903,-0.30555555555554825,0.3333333333333334,-0.966666666666665,0.16666666666666702,,,,
49,65,1903,-1.0722222222222157,0.1428571428571428,-1.2833333333333208,0.14285714285714324,,,,
50,79,1903,-0.049999999999993605,0.4285714285714284,-1.1722222222222207,0.16666666666666702,,,,
51,109,1903,-0.7277777777777716,0.2857142857142856,-0.6388888888888786,0.3333333333333333,,,,
52,125,1903,-0.1055555555555463,0.4285714285714286,-0.99444444444444,0.16666666666666613,,,,
53,540,1903,-0.5111111111111049,0.16666666666666685,-0.8055555555555394,0.2857142857142865,,,,
54,3,1904,-0.8611111111111045,0.16666666666666657,-1.5222222222222221,0.0,,,,
55,65,1904,-1.627777777777771,0.0,-1.838888888888878,0.0,,,,
56,79,1904,-1.1611111111111043,0.1428571428571428,-1.7277777777777779,0.0,,,,
57,109,1904,-1.8388888888888824,0.0,-1.7499999999999893,0.0,,,,
